State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.42509	1.44762	1.50142	1.55647	1.54646	1.58775	1.62028	1.68284	1.72788	1.77417	1.82797	1.73163	1.70035	1.77417	1.73038	1.74039	1.80670	1.80170	1.78168	1.76667	1.76416
2	1.28544	1.28155	1.27765	1.31661	1.30492	1.35166	1.45684	1.55811	1.72950	1.83078	1.79962	1.92037	1.89700	1.89311	1.95543	1.99828	2.06060	2.05281	1.95543	1.96712	1.90090
3	4.63992	4.64520	4.52379	4.25458	4.08038	3.96953	3.81117	3.56308	3.38888	3.13023	3.09328	3.07744	3.16190	3.23052	3.24108	3.23052	3.16190	3.11967	3.09856	3.12495	3.16190
4	2.91503	2.85760	2.73314	2.58955	2.63263	2.57040	2.55125	2.62784	2.53211	2.46509	2.31192	2.19226	1.94336	1.92900	2.00558	2.12525	2.05823	2.13961	2.24012	2.21619	2.17790
5	2.62275	2.56060	2.43630	2.46530	2.53159	2.65175	2.63104	2.70976	2.78848	2.77191	2.68904	2.61861	2.51088	2.43215	2.34929	2.24156	2.27056	2.35757	2.30371	2.17941	2.09654
6	1.44077	1.44988	1.44760	1.44874	1.43052	1.37015	1.35421	1.34737	1.33484	1.31548	1.29612	1.25967	1.23690	1.20500	1.17767	1.15717	1.15489	1.12983	1.12983	1.14236	1.15034
7	2.88551	2.87321	2.87874	2.87567	2.87136	2.86767	2.85598	2.82768	2.79445	2.76861	2.72186	2.69540	2.67325	2.63326	2.59819	2.55881	2.48252	2.42346	2.38532	2.33610	2.30041
8	0.94253	0.93195	0.92754	0.91873	0.93019	0.93195	0.93812	0.94077	0.95311	0.96634	0.95223	0.97163	0.98397	0.99720	1.02718	1.04216	1.08537	1.10388	1.10212	1.12857	1.12857
9	0.75609	0.75781	0.75853	0.75901	0.75943	0.75939	0.75924	0.75862	0.75862	0.76187	0.76994	0.77830	0.78518	0.78800	0.79311	0.79659	0.79893	0.80366	0.81030	0.81460	0.81866
10	0.93021	0.92900	0.93703	0.94667	0.95470	0.96192	0.96794	0.96714	0.96915	0.96112	0.94667	0.93422	0.93061	0.91856	0.90291	0.89327	0.88484	0.87440	0.85915	0.85433	0.85674
