State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.51682	2.58640	2.63499	2.82825	2.88788	2.80285	2.44172	1.91495	1.47100	1.42020	1.37823	1.15515	1.06128	1.09883	1.15294	1.32302	1.56818	1.77911	1.78574	1.78905	1.69408
2	2.46517	2.65426	2.85712	3.09091	3.63758	4.12580	4.82031	5.11943	4.82375	3.39003	2.22793	1.95632	1.75346	1.64001	1.49216	1.48873	1.47841	1.48529	1.48185	1.38558	1.34432
3	5.32544	6.40637	8.04640	10.32008	14.07072	19.49400	26.47345	34.48258	43.18593	48.63251	54.45182	59.61419	58.82679	55.32775	47.74726	36.15989	24.86138	16.88486	11.68056	8.23277	6.23864
4	3.66297	4.26290	5.42897	7.74421	10.74810	15.19267	20.58784	25.34506	26.61252	26.57027	24.20856	21.05258	20.27520	19.32038	17.75717	15.38701	11.85079	8.47933	5.96976	4.49950	3.54890
5	5.79656	6.58650	7.13873	7.47518	6.95587	5.64662	3.95336	2.85622	2.21257	1.93097	1.74080	1.80297	2.08822	3.21828	7.26673	13.83494	19.49253	21.20407	20.50921	18.47950	16.05848
6	1.65370	1.44963	1.21841	0.92989	0.75296	0.63434	0.57301	0.54889	0.53582	0.51973	0.52074	0.54487	0.55593	0.57402	0.58608	0.67455	1.02741	1.77534	2.65799	3.49941	4.21518
7	0.93404	0.84064	0.76515	0.67175	0.59409	0.53599	0.48494	0.44530	0.42738	0.44204	0.43444	0.41869	0.42629	0.45019	0.47462	0.52839	0.60713	0.74723	0.94490	1.15235	1.33807
8	0.80080	0.78134	0.76967	0.75566	0.70897	0.66227	0.61013	0.52686	0.46305	0.46227	0.45449	0.44281	0.44437	0.46382	0.48951	0.52375	0.55955	0.58601	0.60780	0.62570	0.65138
9	0.75947	0.74400	0.72162	0.68591	0.63781	0.57652	0.50473	0.43563	0.39129	0.37265	0.36591	0.36355	0.37379	0.38969	0.41203	0.43804	0.47096	0.50190	0.52547	0.54397	0.55797
10	1.27037	1.29128	1.30297	1.28632	1.26258	1.19737	1.10453	0.99397	0.87916	0.81290	0.78490	0.77746	0.83026	0.90219	0.99574	1.08469	1.14599	1.17399	1.19773	1.19312	1.19100
