State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	2.77882	0.48254	1.39339	1.22164	1.82817	1.37828	1.90133	0.40026
2	0.89257	1.00522	1.26410	1.08474	1.79981	2.22800	2.62930	0.32339
3	0.65866	59.44527	8.60715	1.72630	3.09360	54.44883	24.48672	0.20122
4	0.72636	33.84525	4.42887	1.09562	2.31216	24.20931	14.09407	0.65583
5	0.83913	0.57399	2.14274	2.21496	2.68932	1.74085	7.18837	0.12834
6	3.05266	0.37766	1.55321	2.28735	1.29512	0.52076	1.13268	0.12681
7	5.65107	0.58307	3.12896	2.21243	2.72214	0.43445	0.67841	0.24139
8	3.94332	0.50826	0.91450	0.76409	0.95233	0.45450	0.60193	0.99527
9	72.79722	0.30500	0.70297	0.84395	0.76993	0.36592	0.55140	1.07302
10	8.66019	0.56431	0.82118	0.91344	0.94677	0.78493	1.17395	1.62741
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
