State (Emission order)	H3k04me1	H3k04me2	H3k04me3	H3k09ac	H3k27ac	H3k79me2	H4k20me1	H3k36me3	H3k09me3	H3k27me3
1	0.6713175715339362	0.15477460593075715	0.003914842709813622	0.041095044936032624	0.06383804301349483	0.016418107751582537	0.006769345154098148	0.0075845784552935926	0.013028105273888948	0.0017489740138264696
2	0.9269645774547218	0.8385007294167759	0.5078555950875351	0.7781523243217533	0.8626756056254218	0.04446525577052682	0.0029472935906235116	0.008967125986291749	0.01855205329021796	3.3670591519250763E-4
3	0.08119376716849334	0.8475186997094944	0.9953211185126923	0.9917921590217248	0.7314161505139017	0.4772542329138069	0.021849961973457323	0.015306589168072779	0.004090271045527518	0.0012999448888175843
4	0.38452417452495785	0.9069738332069404	0.6994440283667865	0.4447973963611953	0.009402389501623913	0.01010335651419221	0.00988201470367142	7.163676692893224E-4	0.01571924749046909	0.1432781851305574
5	0.917587448854991	0.8759367826276979	0.5214584492006201	0.6480601542326131	0.40931756176086354	0.9557568289359437	0.19360778521876637	0.09340184182471499	0.011935691979453152	2.2732242579549924E-4
6	0.23856804318057023	0.023674061519545386	0.0010975357959962279	0.006060697324051427	0.005798356190542718	0.8195142214839544	0.15660239278068874	0.07974274611729658	0.039813242872410864	9.297763928676143E-5
7	0.014632600740542711	2.4888502278406793E-5	2.1511919374532035E-5	3.096609516553856E-4	2.600483449741536E-4	0.08418367960679644	0.028078104921889814	0.06266865185199005	0.002785531896148976	4.299007746074095E-5
8	0.0018519185626601074	3.359077506645807E-4	0.0024397063148554883	3.920538778369305E-4	0.001036937347633348	0.005355378600145669	0.007092487764980124	0.01870506309828345	0.4250764537369096	0.0064129027014773
9	0.0021819038649595742	3.2320878629365466E-4	3.835460290781651E-5	5.6144492844254465E-5	5.2120087712131634E-5	1.2301457863325276E-4	0.0016903797827059123	8.625546797670966E-4	0.0068543890101546165	0.004635047307552681
10	0.0027114472658055083	0.0021663128323253034	8.249256387346238E-5	4.3270771915157686E-5	6.684280914789658E-5	8.434714350444644E-5	0.007357333728942541	2.2060927558910983E-4	0.014149890217794595	0.39221489669767146
